,Date,OtherunderPreferredStockDividend,EBIT,ImpairmentOfCapitalAssets,NetIncomeCommonStockholders,TaxRateForCalcs,DilutedNIAvailtoComStockholders,SpecialIncomeCharges,PretaxIncome,NetIncome,DilutedEPS,InterestIncomeNonOperating,InterestExpense,ReconciledCostOfRevenue,EBITDA,NetInterestIncome,TotalUnusualItems,DepreciationIncomeStatement,NetNonOperatingInterestIncomeExpense,TotalExpenses,OtherNonOperatingIncomeExpenses,NormalizedEBITDA,TotalOtherFinanceCost,NetIncomeFromContinuingAndDiscontinuedOperation,SellingGeneralAndAdministration,OperatingIncome,GeneralAndAdministrativeExpense,BasicAverageShares,MinorityInterests,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalRevenue,InterestExpenseNonOperating,TotalUnusualItemsExcludingGoodwill,OperatingRevenue,NetIncomeIncludingNoncontrollingInterests,TaxProvision,Amortization,TaxEffectOfUnusualItems,BasicEPS,CostOfRevenue,NetIncomeContinuousOperations,GrossProfit,OperatingExpense,DilutedAverageShares,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,NormalizedIncome,DepreciationAndAmortizationInIncomeStatement,OtherSpecialCharges,InterestIncome,Ticker,OtherOperatingExpenses,WriteOff,RentExpenseSupplemental,TotalOperatingIncomeAsReported,FeesandCommissionIncome,NonInterestIncome,IncomefromAssociatesandOtherParticipatingInterests,GainOnSaleOfSecurity,FeesAndCommissions,FeesandCommissionExpense,RentAndLandingFees,DividendIncome,OtherGandA,OtherIncomeExpense,ResearchAndDevelopment,NetIncomeDiscontinuousOperations,GainOnSaleOfBusiness,DepreciationAmortizationDepletionIncomeStatement,PreferredStockDividends,GainOnSaleOfPPE,OtherTaxes,EarningsFromEquityInterest,AmortizationOfIntangiblesIncomeStatement,AverageDilutionEarnings,EarningsFromEquityInterestNetOfTax,NonInterestExpense,CreditLossesProvision,OtherCustomerServices,TradingGainLoss,InvestmentBankingProfit,TrustFeesbyCommissions,ProfessionalExpenseAndContractServicesExpense,OtherNonInterestExpense,OccupancyAndEquipment,InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,InterestIncomeFromLoans,ServiceChargeOnDepositorAccounts,GainLossonSaleofAssets,SecuritiesActivities,OtherInterestIncome,CreditCard,InterestIncomeAfterProvisionForLoanLoss,InterestExpenseForShortTermDebt,OtherNonInterestIncome,InterestIncomeFromLoansAndLease,InterestExpenseForDeposit,InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,SalariesAndWages,NetOccupancyExpense,OtherInterestExpense,TotalMoneyMarketInvestments,InterestIncomeFromSecurities,InterestExpenseForLongTermDebtAndCapitalSecurities,InterestIncomeFromDeposits,OtherCostofRevenue,MaintenanceAndRepairs,DDACostofRevenue,Fuel,RentandLandingFeesCostofRevenue,Equipment,TotalPremiumsEarned,GainonSaleofLoans,InsuranceAndClaims
0,2018-12-31,0.0,11197000.0,38000.0,8407000.0,0.224783,8407000.0,-1000.0,11193000.0,8407000.0,0.0163,446000.0,4000.0,20980000.0,0.0,442000.0,-1000.0,0.0,442000.0,29671000.0,63000.0,12789000.0,0.0,8407000.0,8190000.0,10773000.0,8168000.0,517095669.0,-270000.0,1591000.0,8407000.0,40444000.0,4000.0,-1000.0,40444000.0,8677000.0,2516000.0,561000.0,-224.783347,0.0163,20980000.0,8677000.0,19464000.0,8691000.0,517095669.0,-21000.0,22000.0,8407775.216653,561000.0,-37000.0,446000.0,40T.SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2019-12-31,0.0,10162000.0,18000.0,7465000.0,0.268147,7465000.0,-1199000.0,9905000.0,7465000.0,0.0141,500000.0,257000.0,22823000.0,0.0,243000.0,-19000.0,0.0,243000.0,32035000.0,72000.0,13323000.0,0.0,7465000.0,8737000.0,10837000.0,8677000.0,527569833.0,216000.0,3142000.0,7465000.0,42872000.0,257000.0,-1199000.0,42872000.0,7249000.0,2656000.0,560000.0,-321508.732963,0.0141,22823000.0,7249000.0,20049000.0,9212000.0,527569833.0,0.0,60000.0,9522491.267037,560000.0,1000.0,500000.0,40T.SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-12-31,0.0,6929000.0,0.0,4690000.0,0.315862,4690000.0,-1468000.0,6506000.0,4690000.0,0.0086,306000.0,423000.0,20270000.0,0.0,-118000.0,16000.0,0.0,-118000.0,28578000.0,327000.0,10165000.0,1000.0,4690000.0,8386000.0,7749000.0,8345000.0,547503823.0,239000.0,3252000.0,4690000.0,36327000.0,423000.0,-1468000.0,36327000.0,4451000.0,2055000.0,561000.0,-463685.828466,0.0086,20270000.0,4451000.0,16057000.0,8308000.0,547539437.0,0.0,41000.0,7178314.171534,561000.0,-16000.0,306000.0,40T.SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-09-30,0.0,8175000.0,0.0,5838000.0,0.262825,5838000.0,0.0,7739000.0,5838000.0,0.0,0.0,436000.0,20617000.0,11409000.0,-131000.0,16000.0,0.0,-131000.0,28825000.0,785000.0,11393000.0,0.0,5838000.0,8286000.0,8529000.0,8232000.0,0.0,133000.0,3234000.0,5838000.0,37354000.0,436000.0,-1468000.0,37354000.0,5705000.0,2034000.0,0.0,-385826.592583,0.0,20617000.0,5705000.0,16737000.0,8208000.0,0.0,0.0,54000.0,6920173.407417,0.0,0.0,0.0,40T.SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018-12-31,0.0,770926000.0,,676745000.0,0.17,676745000.0,-8981000.0,676358000.0,676745000.0,0.1896,8856000.0,94568000.0,203973000.0,0.0,-87049000.0,-19384000.0,,-87049000.0,251314000.0,-1297000.0,790829000.0,1337000.0,676745000.0,47341000.0,446207000.0,47341000.0,3568687000.0,0.0,519000.0,676745000.0,697521000.0,94568000.0,-19384000.0,697521000.0,676745000.0,-387000.0,,-3295280.0,0.1896,203973000.0,676745000.0,493548000.0,47341000.0,3568687000.0,8981000.0,,692833720.0,,0.0,8856000.0,C38U.SI,2131000.0,0.0,3325000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-12-31,0.0,812989000.0,,696930000.0,0.0,696930000.0,-17601000.0,696930000.0,696930000.0,0.189,6446000.0,116059000.0,228521000.0,0.0,-111392000.0,-17601000.0,,-111392000.0,281714000.0,-1018000.0,832316000.0,1779000.0,696930000.0,53193000.0,505022000.0,53193000.0,3688299000.0,0.0,1726000.0,696930000.0,786736000.0,116059000.0,-17601000.0,786736000.0,696930000.0,0.0,,0.0,0.189,228521000.0,696930000.0,558215000.0,53193000.0,3688299000.0,0.0,,714531000.0,,17601000.0,6446000.0,C38U.SI,2106000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2020-12-31,0.0,480128000.0,,349819000.0,0.17,349819000.0,419169000.0,349679000.0,349819000.0,0.0835,1762000.0,130449000.0,232469000.0,0.0,-131184000.0,419169000.0,,-131184000.0,286553000.0,-1747000.0,63283000.0,2497000.0,349819000.0,54084000.0,458656000.0,54084000.0,4183762000.0,79000.0,2324000.0,349819000.0,745209000.0,130449000.0,419169000.0,745209000.0,349740000.0,-61000.0,,71258730.0,0.0836,232469000.0,349740000.0,512740000.0,54084000.0,4186643000.0,-419169000.0,,1908730.0,,0.0,1762000.0,C38U.SI,2534000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-06-30,0.0,1027756000.0,,843928000.0,0.008629,843928000.0,0.0,851756000.0,843928000.0,0.0,4898000.0,176000000.0,303928000.0,1031525000.0,-176218000.0,419169000.0,,-176218000.0,377842000.0,-2304000.0,612356000.0,5116000.0,843928000.0,73914000.0,694637000.0,73914000.0,0.0,-478000.0,3769000.0,843928000.0,1072479000.0,176000000.0,419169000.0,1072479000.0,844406000.0,7350000.0,,3617106.483547,0.0,303928000.0,844406000.0,768551000.0,73914000.0,0.0,0.0,,428376106.483547,,0.0,4898000.0,C38U.SI,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2018-06-30,0.0,148526150.0,,134090521.0,0.09,134090521.0,2253548.0,147189928.0,134090521.0,0.0508,2850159.0,1336222.0,236830238.0,0.0,1513937.0,2747838.0,,1513937.0,384739607.0,1578534.0,167071421.0,0.0,134090521.0,147909369.0,157026496.0,118158697.0,2635387566.0,10277.0,21293109.0,134090521.0,541766103.0,1336222.0,2747838.0,541766103.0,134080244.0,13109684.0,,247305.42,0.0509,236830238.0,134080244.0,304935865.0,147909369.0,2637787566.0,0.0,29750672.0,131589988.42,,-1230859.0,2850159.0,5CP.SI,0.0,-1022689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-06-30,0.0,311746721.0,,245577192.0,0.14,245577192.0,24226972.0,284725696.0,245577192.0,0.0927,3172427.0,27021025.0,254669616.0,0.0,-23848598.0,33930247.0,,-23848598.0,407839853.0,1255935.0,301790591.0,25547058.0,245577192.0,171419879.0,272967907.0,133996805.0,2648408108.0,10980.0,23974117.0,245577192.0,680807760.0,27021025.0,33930247.0,680807760.0,245566212.0,39159484.0,,4750234.58,0.0927,254669616.0,245566212.0,426138144.0,153170237.0,2648408108.0,-14839820.0,37423074.0,216397179.58,,-9039881.0,3172427.0,5CP.SI,-18249642.0,-347271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
